tconst,nconst,category
tt0054127,nm0789485,actor
tt0054127,nm0842425,actor
tt0054127,nm0768178,actor
tt0054127,nm0293466,actress
tt0054127,nm0702798,actor
tt0054127,nm0368871,director
tt0054135,nm0000069,actor
tt0054135,nm0001509,actor
tt0054135,nm0002035,actor
tt0054135,nm0492444,actor
tt0054135,nm0001141,actress
tt0054135,nm0002017,actor
tt0054135,nm0003110,actor
tt0054135,nm0943867,actress
tt0054135,nm0084086,actor
tt0054135,nm0848667,actor
tt0054135,nm0587277,director
tt0054156,nm0773723,actress
tt0054156,nm0261161,actor
tt0054156,nm0699549,actress
tt0054156,nm0188529,actor
tt0054156,nm0537922,actor
tt0054156,nm0433081,actress
tt0054156,nm0500530,actress
tt0054156,nm0494538,actress
tt0054156,nm0723032,actress
tt0054156,nm0732214,actress
tt0054156,nm0729626,director
tt0054172,nm0134594,actor
tt0054172,nm0197314,actor
tt0054172,nm0429250,actress
tt0054172,nm0598823,actor
tt0054172,nm0872629,actress
tt0054172,nm0560443,actor
tt0054172,nm0377846,actor
tt0054172,nm0516148,actress
tt0054172,nm0729032,actor
tt0054172,nm0796645,director
tt0054177,nm0439344,actress
tt0054177,nm0836977,actor
tt0054177,nm0400142,actor
tt0054177,nm0064722,actor
tt0054177,nm0844435,actor
tt0054177,nm0064676,actor
tt0054177,nm0248811,actor
tt0054177,nm0000419,actor
tt0054177,nm0000419,director
tt0054188,nm0000013,actress
tt0054188,nm0000057,actor
tt0054188,nm0656712,actress
tt0054188,nm0001981,actress
tt0054188,nm0370821,actor
tt0054188,nm0446763,actress
tt0054188,nm0922967,actor
tt0054188,nm0362331,actor
tt0054188,nm0512267,actress
tt0054188,nm0680284,actress
tt0054188,nm0910199,director
tt0054189,nm0001128,actor
tt0054189,nm0740067,actor
tt0054189,nm0481030,actress
tt0054189,nm0187927,actor
tt0054189,nm0490224,actor
tt0054189,nm0443985,actor
tt0054189,nm0632425,actress
tt0054189,nm0151988,actress
tt0054189,nm0076464,actor
tt0054189,nm0666722,actor
tt0054189,nm0167496,director
