nconst,primaryName,primaryProfession,knownForTitles,popularity,known_for_department,profile_path
nm0940705,Maurice Woods,actor,"tt0086465,tt0173990,tt0078999,tt0075528",0.533,Acting,
nm0615718,Lorenzo Music,"writer,actor,producer","tt0071040,tt0302387,tt0295274,tt0166204",2.783,Acting,https://image.tmdb.org/t/p/original/vET9hPVb5hNLtH0V4d2VoQIlIqn.jpg
nm0434668,Judith Kahan,"actress,writer,miscellaneous","tt0102059,tt0122933,tt0117108,tt0107144",1.635,Acting,
nm0668372,Julie Payne,"actress,miscellaneous,writer","tt0328828,tt0066434,tt0117723,tt0100157",11.287,Acting,https://image.tmdb.org/t/p/original/nouIvMBS6G7jZGE197xHLHZQdVo.jpg
nm0943280,Kai Wulff,"actor,miscellaneous,archive_sound","tt0083943,tt0086491,tt0092086,tt3385516",5.855,Acting,https://image.tmdb.org/t/p/original/rP4donw54RqNZwJuMDLLhY9lX7u.jpg
nm0931736,Steven Williams,"actor,director,producer","tt0107254,tt0080455,tt0106179,tt1396484",10.553,Acting,https://image.tmdb.org/t/p/original/aiu0GuxB3RbxowHcvWHC7EegHMq.jpg
nm0004306,George Miller,"producer,writer,director","tt1392190,tt0082694,tt0079501,tt0366548",11.536,Directing,https://image.tmdb.org/t/p/original/35NQ8HjFXQlGYDz9UkhT08lKl5C.jpg
nm0381273,John Herzfeld,"writer,director,actor","tt0119838,tt0115438,tt0179626,tt6772804",2.569,Directing,https://image.tmdb.org/t/p/original/opDaQuBZwM0p8K6HFw8mRbspT8S.jpg
nm0908525,Anzac Wallace,actor,"tt0089869,tt0271902,tt0139453,tt0086497",0.746,Acting,https://image.tmdb.org/t/p/original/fk8BgGlbRihlyagWSYWoRsjMPn5.jpg
nm0492649,Bruno Lawrence,"actor,writer,producer","tt0089869,tt0108780,tt0082464,tt0094680",1.977,Acting,https://image.tmdb.org/t/p/original/6gJcOyMQG6LD6MmIFDEuAU0NVmj.jpg
nm0254338,Tim Elliott,actor,"tt0064238,tt0076974,tt0259760,tt0081033",1.136,Acting,
nm0433922,Wi Kuki Kaa,"actor,sound_department","tt0086993,tt0093615,tt0086497,tt0390579",2.124,Acting,https://image.tmdb.org/t/p/original/4Wi70agaP182aSweyoObYQGioyM.jpg
nm0734714,Ilona Rodgers,"actress,archive_footage","tt0129713,tt0423697,tt5745220,tt0054518",0.779,Acting,https://image.tmdb.org/t/p/original/lEwDFse5iJZBc5Fe3LRANGnjCsr.jpg
nm0593039,Merata Mita,"producer,director,actress","tt1560139,tt0086086,tt0139453,tt2764060",1.019,Directing,https://image.tmdb.org/t/p/original/t9D9XASTbaHkZ7ySgFF0KH3vTNB.jpg
nm0614276,Geoff Murphy,"director,actor,writer","tt0089869,tt0118928,tt0114781,tt0120737",2.327,Directing,https://image.tmdb.org/t/p/original/AtNod4v6Nzq9wXKXejIiOn4TAsW.jpg
nm0002012,Randall 'Tex' Cobb,"actor,archive_footage","tt0093822,tt0109040,tt0110622,tt0086508",13.318,Acting,https://image.tmdb.org/t/p/original/xBUdVeioNCwWBTzO618GSAtnWJg.jpg
nm0510562,Kwan Hi Lim,"actor,archive_footage","tt0086508,tt0080240,tt0086765,tt0371743",2.842,Acting,https://image.tmdb.org/t/p/original/ix47n3NSQFac5RdtZKUcf1p26Xd.jpg
nm0657353,Holly Palance,"actress,archive_footage","tt0075005,tt0090713,tt0085101,tt0084830",2.289,Acting,https://image.tmdb.org/t/p/original/6TqHDjdZgYGequtuYVo9qEp8T52.jpg
nm0006854,Roger Spottiswoode,"director,producer,editorial_department","tt0083511,tt0216216,tt0096098,tt0472562",2.201,Directing,https://image.tmdb.org/t/p/original/ofSwHS4FtNtKO70LHqXdOgU67iP.jpg
nm0286033,Deborah Foreman,"actress,archive_footage","tt0089886,tt0090655,tt0091579,tt0086525",4.769,Acting,https://image.tmdb.org/t/p/original/teCFGZtVGjt0iA9GB4jUXWMycAN.jpg
nm0245650,Cameron Dye,"actor,soundtrack,art_department","tt0202614,tt0086525,tt10804304,tt8870136",2.761,Acting,https://image.tmdb.org/t/p/original/1SMzbESTqZQHxgmW43zwzLfK1Zk.jpg
nm0390503,Heidi Holicker,"actress,miscellaneous,special_effects",tt0166427,1.184,Acting,
nm0001534,Michelle Meyrink,"actress,archive_footage","tt0089886,tt0086066,tt0088000,tt0086525",4.886,Acting,https://image.tmdb.org/t/p/original/ApLb4XIZHQMrpwxhDr7IfYslr1a.jpg
nm0761687,Richard Sanders,"actor,writer,producer","tt0077097,tt0203019,tt0088481,tt0203441",5.936,Acting,https://image.tmdb.org/t/p/original/nU00A4ujVjDK1kmakvI4F46yUr4.jpg
nm0004838,Martha Coolidge,"director,producer,writer","tt0086525,tt0172348,tt0089886,tt0102753",4.891,Directing,https://image.tmdb.org/t/p/original/pvJGxWwdPaUCvu9YojlwA7D3FY1.jpg
nm0797631,Caroline Silhol,"actress,writer,miscellaneous","tt0450188,tt10272386,tt0097555,tt0086551",1.53,Acting,https://image.tmdb.org/t/p/original/xeBf0tpIKyCAlw6FlfWQOekUZp3.jpg
nm0768795,Prunella Scales,"actress,soundtrack,archive_footage","tt0104454,tt0072500,tt0111742,tt0077269",10.573,Acting,https://image.tmdb.org/t/p/original/drheTizcFPn6XSpJyec5nEYPP7l.jpg
nm0053392,Glynis Barber,"actress,archive_footage","tt2058673,tt0076987,tt0284764,tt0088503",6.749,Acting,https://image.tmdb.org/t/p/original/iOCVluj6vTRptTJQkRRQUAQELCF.jpg
nm0565151,Helena McCarthy,"actress,soundtrack","tt0054518,tt0086582,tt0934762,tt0115272",0.459,Acting,
nm0669868,Chris Pedersen,actor,"tt0091763,tt0102685,tt0105665,tt0086589",3.575,Acting,https://image.tmdb.org/t/p/original/a0pmU9j3uLZQD8KtlRD5bki8qVK.jpg
nm0185417,Bill Coyne,actor,"tt0086589,tt0080832",0.008,Acting,
nm0281359,Flea,"music_artist,actor,composer","tt3890160,tt7008872,tt0096874,tt0118715",7.261,Acting,https://image.tmdb.org/t/p/original/nGQE7xf4YJeqO0a4lpFebhwI7R9.jpg
nm0179927,Danny Corkill,actor,"tt0087182,tt0088979,tt0087751,tt0096003",1.865,Acting,https://image.tmdb.org/t/p/original/n5nKI4T55LDGVoqS5RG1Ru6ZUET.jpg
nm0179680,Allan Corduner,"actor,producer,director","tt1034303,tt0379889,tt0151568,tt0485947",4.613,Acting,https://image.tmdb.org/t/p/original/9bZTEBUjY02UeooNnghZXxKfiO7.jpg
nm0817287,Bernard Spear,actor,"tt0062803,tt0086619,tt0206917,tt0163470",0.74,Acting,https://image.tmdb.org/t/p/original/wMfVrNoSv06abTyJPrbgdZvoAgL.jpg
nm0544140,Doreen Mantle,"actress,archive_footage","tt0457513,tt0862620,tt0098882,tt0078672",1.91,Acting,https://image.tmdb.org/t/p/original/tVyYF6CmmxiRia9A8AMFoLQ5ylC.jpg
nm0394632,Patrick Horgan,"actor,archive_footage","tt0086637,tt0063688,tt0060028,tt0256524",0.57,Acting,
nm0627326,Paul Nevens,actor,"tt0086637,tt0067741,tt0073615",0.29,Acting,
nm0259844,Howard Erskine,"actor,producer,miscellaneous","tt0086637,tt0117894,tt0106226,tt0256524",1.666,Acting,https://image.tmdb.org/t/p/original/9lMzFyWK0lOdlRfFUO0NXqrOVm4.jpg
nm0094789,Sandrine Bonnaire,"actress,director,writer","tt0112769,tt0086650,tt0089960,tt1082009",4.757,Acting,https://image.tmdb.org/t/p/original/uI6flJV8GeKUjqJdsk7fm2rLVD3.jpg
nm0171664,Cyril Collard,"writer,actor,director","tt0105032,tt0268132,tt0322448,tt0196262",1.738,Directing,https://image.tmdb.org/t/p/original/2yfTcyNUQ8zqL5l9AkIm3JFRVJo.jpg
nm0815713,Alain Souchon,"actor,composer,writer","tt0086655,tt0080951,tt0119828,tt6095616",3.168,Acting,https://image.tmdb.org/t/p/original/dELoFjrkSeUISlZTocrEX2BWHaz.jpg
nm0166537,Jenny Clève,actress,"tt1064932,tt0104473,tt0080001,tt0086655",1.61,Acting,https://image.tmdb.org/t/p/original/kARTsNVnGqINNE6JN6WF1KmV4JI.jpg
nm0532474,Maria Machado,actress,"tt0118604,tt0086655,tt0054518,tt0073637",3.232,Acting,https://image.tmdb.org/t/p/original/kRFwZHqlz5JCvTJtlfShv5aMB9j.jpg
nm0225789,Evelyne Didi,"actress,soundtrack","tt0105750,tt0100747,tt1538221,tt0087315",1.495,Acting,https://image.tmdb.org/t/p/original/3SQRmcp3GpNjxVmJHweddvffZTq.jpg
nm0350736,Manuel Gélin,"actor,composer,miscellaneous","tt0420388,tt0086486,tt14672484,tt0077867",1.853,Acting,https://image.tmdb.org/t/p/original/mx6p93Tt4nC9tIOR0qOBWXW4EhM.jpg
nm0411731,Robert Ito,"actor,miscellaneous,archive_footage","tt0086856,tt0073631,tt0112178,tt0074042",3.977,Acting,https://image.tmdb.org/t/p/original/9QDa4UAvCWlNyzPP2exAHDcsN5g.jpg
nm0005481,Victoria Tennant,"actress,producer,writer","tt0102250,tt0093036,tt0099731,tt0086873",9.584,Acting,https://image.tmdb.org/t/p/original/hCFRv6zSIW4YooWv6B9FfnhcN8h.jpg
nm0894690,Kate Vernon,"actress,archive_footage","tt0104797,tt0091790,tt0407362,tt1286130",10.105,Acting,https://image.tmdb.org/t/p/original/2fQ8XIYZOElhsYqlqCB6QHJ1MHW.jpg
nm0000415,Jami Gertz,"actress,producer,executive","tt0117998,tt0093437,tt0320970,tt0088128",14.686,Acting,https://image.tmdb.org/t/p/original/9O3hOr7tPShjmLNupTEdMCfjhK6.jpg
nm0785435,Raymond Serra,"actor,miscellaneous,archive_footage","tt0100758,tt0103060,tt0079522,tt0074860",0.938,Acting,https://image.tmdb.org/t/p/original/6OzU0RSC9t9IHje2iBKr5MkNLD4.jpg
nm0430234,Daniel Jordano,"actor,director,writer","tt1841606,tt34273859,tt10483020,tt0091767",0.624,Acting,
nm0546306,Tom Mardirosian,actor,"tt0086465,tt0118421,tt0100404,tt0112883",3.175,Acting,https://image.tmdb.org/t/p/original/d7HTdYQ4GtRoeFKzpVtP0sjx7xx.jpg
nm0688096,Amos Poe,"director,producer,writer","tt0103121,tt0112820,tt2265154,tt0081688",3.717,Directing,https://image.tmdb.org/t/p/original/zQtuMaTItvH535CEBbeiaphjcK7.jpg
nm0234541,Roy Dotrice,"actor,writer,archive_footage","tt0411477,tt0086879,tt0092319,tt0104040",3.05,Acting,https://image.tmdb.org/t/p/original/etXS22XFmYmHiQ7RDYf72pPO4fp.jpg
nm0001003,Simon Callow,"actor,writer,director","tt0109831,tt0091867,tt0138097,tt0293508",10.388,Acting,https://image.tmdb.org/t/p/original/no6qlnMrWeUzSt1FjD2Vf9x992e.jpg
nm0002056,Christine Ebersole,"actress,soundtrack,archive_footage","tt0993846,tt0086879,tt0110989,tt0115697",8.551,Acting,https://image.tmdb.org/t/p/original/qmv7UOmmQLwL0K4Et0R7m2Hg5vK.jpg
